id,prompt,A,B,C,D,E,answer
5140,How many tracks does the Tremont Avenue station on the IND Concourse Line have?,The Tremont Avenue station has three tracks and one island platform.,The Tremont Avenue station has two tracks and two island platforms.,The Tremont Avenue station has two tracks and one island platform.,The Tremont Avenue station has three tracks and two island platforms.,The Tremont Avenue station has one track and one island platform.,B
5141,"How tall is the Rothschild 22 Tower in Israel, including a decorative mast?",29 stories,9-meter tall decorative mast,117.9 meters,1.9 dunam,22 stories,B
5142,"What is the population of Colo, a city in Story County, Iowa, based on the 2020 census?",698,972,"1,053",512,845,E
5143,Where is Neko Harbour located?,Neko Harbour is an inlet on the central coast of Graham Land.,Neko Harbour is an inlet on the east coast of Graham Land.,Neko Harbour is an inlet on the south coast of Graham Land.,Neko Harbour is an inlet on the north coast of Graham Land.,Neko Harbour is an inlet on the west coast of Graham Land.,E
5144,When was Wudinna proclaimed a town in South Australia?,Wudinna was proclaimed a town in 1916.,Wudinna was proclaimed a town in 1861.,Wudinna was proclaimed a town in 10 square miles.,Wudinna was proclaimed a town in the centre of Eyre Peninsula.,Wudinna was proclaimed a town in Weedna Hill.,A
5145,What is the total area of the Nyskie Lake in Poland?,The total area of the lake is 5000 hectares.,The total area of the lake is 200 hectares.,The total area of the lake is 1000 hectares.,The total area of the lake is 2000 hectares.,"The total area of the lake is 10,000 hectares.",D
5146,"What was the cover for the single ""Winter Passing"" by The Academy Is... painted by Andrew ""The Butcher"" Mrotek during?","The cover was painted during a live performance of the song ""Winter Passing"".",The cover was painted during the final month of the Bill & Trav's Bogus Journey Tour.,"The cover was painted during The Academy Is...'s tour in support of their album ""Santi"".","The cover was painted during the band's hiatus after the release of ""Santi"".",The cover was painted during the recording sessions for the single in a studio.,B
5147,Which regions is Opuntia humifusa commonly found in?,Opuntia humifusa is commonly found in the western United States and South America.,Opuntia humifusa is commonly found in the Arctic region.,Opuntia humifusa is commonly found in parts of Africa and Europe.,"Opuntia humifusa is commonly found in parts of the eastern United States, Mississippi and northeastern Mexico.",Opuntia humifusa is commonly found in Asia and Australia.,D
5148,What was the purpose of the Halton Railway?,The Halton Railway was a historical railway known for its significant contributions to the transportation industry.,The Halton Railway was a tourist attraction that offered scenic rides from Wendover to RAF Halton.,The Halton Railway was a railway line that connected RAF Halton to other military bases in the area.,The Halton Railway was a spur line used to transport coal and other goods to RAF Halton.,The Halton Railway was a transportation system used by RAF Halton personnel to commute to and from work.,D
5149,"Who coined the name ""Indianapolis"" for the new state capital?",George Washington,Benjamin Franklin,Alexander Hamilton,Jeremiah C. Sullivan,Thomas Jefferson,D
5150,"What is the claim made by Golwg, a Welsh-language magazine, regarding its circulation?","Golwg magazine claims a monthly circulation of 12,000, the largest circulation of any magazine in Wales.","Golwg magazine claims a weekly circulation of 15,000, surpassing all other magazines in Wales.","Golwg magazine claims a monthly circulation of 8,000, making it one of the most popular magazines in Wales.","Golwg magazine claims a monthly circulation of 10,000, the highest among Welsh-language magazines in Wales.","Golwg magazine claims a weekly circulation of 20,000, establishing itself as the leading magazine in Wales.",A
5151,What teams did Joonas Komulainen play for in the Finnish Liiga?,"HPK, Ilves, Pelicans, and KooKoo","Kärpät, TPS, HIFK, and Pelicans","JYP, Tappara, HIFK, and TPS","SaiPa, Jukurit, Lahti Pelicans, and JYP","KalPa, Oulun Kärpät, Lukko, and Vaasan Sport",E
5152,What is a common reason for using a dog crate?,Toilet training a new puppy.,Giving a dog a place to go when visitors come to the house.,Providing a place of refuge for the dog when traveling to new surroundings.,Keeping a dog securely during transportation.,Allowing a dog to roam freely in locations where it is not legally allowed.,D
5153,What official position did Orson Ferguson Whitney hold in the Church of Jesus Christ of Latter-day Saints?,General Relief Society President,President of the Church,Bishop of Salt Lake City,Member of the Quorum of the Twelve Apostles,Mission President,D
5154,"What was Elizabeth ""Betty"" Hahn Bernbaum known for?","Elizabeth ""Betty"" Hahn Bernbaum was known for her contributions to the field of literature.","Elizabeth ""Betty"" Hahn Bernbaum was known for her involvement in political activities.","Elizabeth ""Betty"" Hahn Bernbaum was known for her professional career as an ambassador.","Elizabeth ""Betty"" Hahn Bernbaum was known for her expertise in amateur radio communications.","Elizabeth ""Betty"" Hahn Bernbaum was known for her advocacy work in Latin American countries.",D
5155,"What is the geographical location of Jesus People USA (JPUSA), a Christian intentional community?","Suburban Chicago, Illinois","Downtown Chicago, Illinois","West Side of Chicago, Illinois","Uptown, on the North Side of Chicago, Illinois","South Side of Chicago, Illinois",D
5156,What is Oleksandr Bondarenko known for based on the provided Wikipedia excerpt?,Oleksandr Bondarenko is known for his expertise in the field of environmental conservation.,Oleksandr Bondarenko is known for his contributions to the field of medicine.,Oleksandr Bondarenko is known for his accomplishments as a professional athlete.,Oleksandr Bondarenko is known for his role as a Ukrainian politician and former Governor of Dnipropetrovsk Oblast.,Oleksandr Bondarenko is known for his career as an economist and businessman. ,D
5157,Who were the original members of The Red Krayola avant rock band?,"Mayo Thompson, Frederick Barthelme, and Hugh Hopper.","Mayo Thompson, Frederick Barthelme, and Eugene Chadbourne.","Mayo Thompson, Frederick Barthelme, and Steve Cunningham.","Mayo Thompson, Frederick Barthelme, and Gil-Scott Heron.","Mayo Thompson, Frederick Barthelme, and John Fahey.",C
5158,What was the focus of Powderfinger's album Odyssey Number Five?,Odyssey Number Five focused on storytelling through fictional narratives and imaginative lyrics.,Odyssey Number Five focused on showcasing the band's technical instrumental skills with complex compositions and solos.,"Odyssey Number Five focused on personal experiences and introspective themes, delving into emotions and self-reflection.",Odyssey Number Five focused on celebrating Australian heritage and culture through songs about landmarks and history.,Odyssey Number Five focused on exploring experimental musical elements and pushing genre boundaries.,C
5159,Which two municipalities have gained population since 1980 in the Quirinópolis Microregion?,"Caçu, São Simão","Quirinópolis, Cachoeira Alta","Lagoa Santa, Cachoeira Alta","Itarumã, Gouvelândia","Paranaiguara, Itajá",E
5160,What is the primary function of a pseudolite?,Pseudolites are used to track and monitor satellite orbits in real-time.,Pseudolites serve as backups for satellite navigation systems in case of signal disruptions.,Pseudolites act as miniaturized satellites and provide direct broadcast services.,Pseudolites are transmitters that enable communication between different GPS devices.,"Pseudolites are small transceivers that create a local, ground-based alternative for the Global Positioning System (GPS).",E
5161,"How many households are estimated to be living in Tōhoku town in Aomori Prefecture, Japan, as of 31 December 2022 based on the provided Wikipedia excerpt?",7251 households,7269 households,16525 households,7251 households in 7269 households,7269 households in 7251 households,A
5162,"What was ""Dichiarazioni d'amore"" premiered at during the 51st Venice International Film Festival?",In competition,As the opening film,As the closing film,Out of competition,It was not premiered at the 51st Venice International Film Festival.,D
5163,Which company owns the radio station KPYN and what format does it broadcast?,KPYN is owned by Entercom Communications and broadcasts a Sports format.,KPYN is owned by iHeartMedia and broadcasts a Country format.,KPYN is owned by Beasley Broadcast Group and broadcasts a Top 40 format.,KPYN is owned by Cumulus Media and broadcasts a Classic Rock format.,KPYN is owned by Freed AM Corp. and broadcasts a News-Talk format.,E
5164,"In which campaigns did the 7th Anti-Tank Regiment serve during the Second World War, as mentioned in Wikipedia?","The 7th Anti-Tank Regiment served during the Pacific, African, and Middle Eastern campaigns.","The 7th Anti-Tank Regiment served during the Greek, Scandinavian, and Balkan campaigns.","The 7th Anti-Tank Regiment served during the Greek, North African, Tunisian, and Italian campaigns.","The 7th Anti-Tank Regiment served during the Asian, African, and Eastern European campaigns.","The 7th Anti-Tank Regiment served during the British, Pacific, and European campaigns.",C
5165,What county is Feričanci located in?,"Feričanci is located in Split-Dalmatia County, Croatia.","Feričanci is located in Osijek-Baranja County, Croatia.","Feričanci is located in Primorje-Gorski Kotar County, Croatia.","Feričanci is located in Zagreb County, Croatia.","Feričanci is located in Zadar County, Croatia.",B
5166,How is María Chinchilla honored in Guatemala?,"María Chinchilla was a prominent figure in the Guatemalan government, serving as the Minister of Education.",María Chinchilla was awarded the Nobel Peace Prize for her efforts in promoting peace and human rights.,María Chinchilla is commemorated through a national holiday dedicated to honoring her contributions to education in Guatemala.,María Chinchilla is remembered for her distinguished military career and her bravery in combat.,"María Chinchilla was a successful entrepreneur, known for her philanthropic endeavors and charitable organizations.",C
5167,What is Parakkal Unnikrishnan known for in the music industry?,"Parakkal Unnikrishnan is known for his contributions as a music director, conductor, and arranger in the Indian music industry. His expertise in orchestration has enhanced the soundscapes of various compositions.","Parakkal Unnikrishnan is known for his expertise as a playback singer in the Indian film industry. His soulful voice has graced many popular movie soundtracks, captivating audiences worldwide.",Parakkal Unnikrishnan is known for his extensive research and scholarly work in the field of ethnomusicology. His studies have shed light on the historical development and cultural significance of Indian classical music.,"Parakkal Unnikrishnan is known for his unique approach to Carnatic vocal music. He incorporates elements of Western music and experimentation, creating a fusion style that has gained widespread recognition.",Parakkal Unnikrishnan is known for his contributions as a composer in the Indian Carnatic music genre. He has composed numerous critically acclaimed pieces that showcase his mastery of classical Indian music.,B
5168,What type of wing configuration does the Saab JAS 39 Gripen have?,The Saab JAS 39 Gripen has a delta wing configuration.,The Saab JAS 39 Gripen has a biplane wing configuration.,The Saab JAS 39 Gripen has a swept wing configuration.,The Saab JAS 39 Gripen has a variable-geometry wing configuration.,The Saab JAS 39 Gripen has a straight wing configuration.,A
5169,Who is the current leader of the Christian Democrats in Sweden?,"The current leader of the Christian Democrats in Sweden is Göran Hägglund, who had been leader since 2004.","The current leader of the Christian Democrats in Sweden is Annie Lööf, who has held the position since 2011.","The current leader of the Christian Democrats in Sweden is Jan Björklund, who assumed leadership in 2019.","The current leader of the Christian Democrats in Sweden is Mats Odell, who has been in office since 2004.","The current leader of the Christian Democrats in Sweden is Ebba Busch, who succeeded Göran Hägglund in 2015.",E
5170,"Who wrote and produced the song ""Speak Out Now"" by Oh Land?",Oh Land,Nanna Øland Fabricius and Kristian Leth,"Nanna Øland Fabricius, Kristian Leth, and Fridolin Nordsø",Fake Diamond Records,Oh Land and Fake Diamond Records,C
5171,What team won the 2005-06 UEFA Cup?,Steaua București.,Sevilla.,Middlesbrough.,FC Basel.,None of the above.,B
5172,What is the primary export of the municipality of Peč in the Czech Republic?,Textile industry goods,Agricultural products,Artisan handicrafts,Automotive parts,Beer and alcoholic beverages,B
5173,"How did Kelly-Anne Lyons achieve her breakthrough role in the BBC comedy ""Dick and Dom's Funny Business""?","Lyons played the character ""Felicity Bond"" in the BAFTA nominated BBC comedy ""DNN"".","Lyons played various characters in hidden camera sketch shows such as ""Fool Britannia"".","Lyons played the character ""Kelly-Anne Manhattan"" in the BBC comedy ""Dick and Dom's Funny Business"".","Lyons played the character ""Tess"" in BBC's sitcom ""Badults"".","Lyons played the title role in Chelsey: OMG!, produced by British comedy and entertainment company Channel X.",C
5174,"What was the main focus of the Manassas Industrial School for Colored Youth, as described in the provided Wikipedia excerpt?","The Manassas Industrial School for Colored Youth primarily focused on providing academic education for African-American children in Manassas, Virginia.",The Manassas Industrial School for Colored Youth primarily focused on promoting the importance of arts and culture among African-American youth.,The Manassas Industrial School for Colored Youth primarily focused on promoting sports and physical fitness among African-American children.,The Manassas Industrial School for Colored Youth primarily focused on preparing African-American children for higher education opportunities.,The Manassas Industrial School for Colored Youth primarily focused on providing vocational education for African-American youth of both sexes.,E
5175,Which of the following statements accurately describes the characteristics of Zygaena truchmena?,"Zygaena truchmena is a species of butterfly in the Zygaenidae family. It is found in Central Asia, specifically in Uzbekistan.","Zygaena truchmena is a species of butterfly in the Zygaenidae family. It is found in Central Asia, specifically in Kyrgyzstan.","Zygaena truchmena is a species of moth in the Zygaenidae family. It is found in Central Asia, specifically in Tajikistan.","Zygaena truchmena is a species of moth in the Zygaenidae family. It is found in Central Asia, specifically in Kazakhstan.","Zygaena truchmena is a species of moth in the Zygaenidae family. It is found in Central Asia, specifically in Turkmenistan.",E
5176,What was the ultimate objective of the Battle of Buck Head Creek?,The Union Army cavalry aimed to repulse the attack by the small Confederate cavalry corps.,The Union Army cavalry aimed to destroy railroads and rescue Union prisoners of war.,The Confederate cavalry corps aimed to destroy railroads and rescue Union prisoners of war.,The Confederate cavalry corps aimed to repulse the attack by the Union Army cavalry.,The Union Army cavalry aimed to engage in a strategic retreat and regroup for future battles.,B
5177,How many teams are represented by the Canadian Hockey League for the 2023–24 season?,60,10,70,50,80,A
5178,"Who directed the 1957 film noir, Appointment with a Shadow?",George Nader,Brian Keith,Richard Carlson,Joanna Moore,Virginia Field,C
5179,What position did John Radford play in his football career?,"John Radford played as a forward for Arsenal, West Ham United, and Blackburn Rovers.",John Radford played as a midfielder for Arsenal.,John Radford played as a midfielder for West Ham United.,John Radford played as a defender for Blackburn Rovers.,John Radford played as a goalkeeper for Arsenal.,A
5180,What is the common name for Erigeron bloomeri?,Prairie sunflower,Coastal aster,Rocky mountain daisy,Desert marigold,Scabland fleabane,E
5181,What is Jean-Marie Bigard known for?,Jean-Marie Bigard achieved fame through his pioneering work in the field of medical research and breakthrough discoveries.,Jean-Marie Bigard is known for his talent in playing musical instruments and composing original songs.,Jean-Marie Bigard is known for his often controversial humor and has performed at major entertainment venues in France.,Jean-Marie Bigard is renowned for his exceptional skills as a magician and illusionist.,"Jean-Marie Bigard gained notoriety for his athletic prowess, particularly in the field of professional rugby.",C
5182,"Which family does the Short-spined murex, a species of large predatory sea snail, belong to?","Turritellidae, the turret or screw snails.","Strombidae, the true conchs.","Ranellidae, the triton snails.","Buccinidae, the true whelks.","Muricidae, the rock snails or murex snails.",E
5183,Who is the current director of Ghent University Hospital?,Dr. John Thompson,Prof. Norbert Fraeyman,Dr. Emily Carter,Dr. Michael Anderson,Prof. Josephine Wilcox,B
5184,Which estuary feeds into Boca Ciega Bay?,Clearwater estuary,Clam Bayou estuary,Tampa Bay estuary,Charlotte Harbor estuary,Sarasota Bay estuary,B
5185,"Which of the following statements accurately describes Hamilton County in Ohio, based on the provided Wikipedia excerpt?",Hamilton County is located in the northeastern corner of the U.S. state of Ohio.,The county seat and largest city of Hamilton County is Cincinnati.,"As of the 2020 census, Hamilton County's population was 1,200,503, making it the most populous county in Ohio.","Hamilton County is part of the Cleveland-Akron, OH Metropolitan Statistical Area.","Hamilton County is named after the first President of the United States, George Washington.",B
5186,Which football club did David Helliwell NOT play for?,Rochdale,Morecambe,Workington,Blackburn Rovers,Lincoln City,B
5187,"What is the significance of the song ""Under a Blanket of Blue"" in American popular music history?","""Under a Blanket of Blue"" is considered to be the first-ever hit song that featured a saxophonist as the lead instrument.","""Under a Blanket of Blue"" gained popularity as a romantic ballad during the 1930s and became a standard in the Great American Songbook.","""Under a Blanket of Blue"" has been recognized as one of the most influential songs in shaping the development of jazz music in the 1930s.","""Under a Blanket of Blue"" was widely regarded as a protest song addressing social issues prevalent in the early 1930s.","""Under a Blanket of Blue"" was the first song composed by Jerry Livingston, and it marked the beginning of his successful career as a songwriter.",B
5188,What is the geographic boundary of the Punta Gorda Residential District in Florida?,"The district is bounded by West Retta Esplanade, Berry Street, West Virginia Avenue, and Martinez Avenue.","The district is bounded by West Retta Esplanade, Berry Lane, West Virginia Avenue, and Taylor Street.","The district is bounded by West Retta Esplanade, Berry Street, West Virginia Avenue, and Taylor Street.","The district is bounded by Marina Avenue, Berry Street, West Virginia Avenue, and Taylor Street.","The district is bounded by West Retta Esplanade, Berry Street, West Virginia Avenue, and Pierce Street.",C
5189,What were Gitta Escher's achievements at the 1976 Summer Olympics?,She did not win any medals but finished sixth in the balance beam.,She won a silver medal in the balance beam and finished first in the floor exercise.,She won a bronze medal in the all-around and finished fourth in the team competition.,She won a bronze medal in the team competition and finished fifth in the vault.,She won a gold medal in the vault and finished first in the all-around.,D
5190,What is the architectural style of All Saints' Church in Ashbocking?,All Saints' Church in Ashbocking is built in the Gothic architectural style.,All Saints' Church in Ashbocking is built in the Baroque architectural style.,All Saints' Church in Ashbocking is built in the Modernist architectural style.,All Saints' Church in Ashbocking is built in the Neoclassical architectural style.,All Saints' Church in Ashbocking is built in the Romanesque architectural style.,A
5191,"What is the approximate population of Castellfort, a municipality located in the province of Castellón, Valencian Community, Spain, according to Wikipedia?",Approximately 321 people.,Approximately 639 people.,Approximately 523 people.,Approximately 238 people.,Approximately 719 people.,D
5192,What is the main characteristic of a binary search tree?,A binary search tree is a sorted tree structure where every node contains a key and the keys are organized in a specific order.,A binary search tree is a graph structure where each node has at most two children.,A binary search tree is a tree structure where the time complexity of operations is inversely proportional to the height of the tree.,A binary search tree is a data structure where the key of each internal node is greater than all the keys in its left subtree and less than the ones in its right subtree.,A binary search tree is a balanced tree structure where the heights of the left and right subtrees of any node differ by at most one.,D
5193,Who developed the character Lily Hoshikawa in the anime series Zombie Land Saga?,"Lily Hoshikawa was developed by the artist and character designer Tsunako, known for their work on the Hyperdimension Neptunia series.","Lily Hoshikawa was developed by the animation director Masaki Tachibana, who has previously worked on series like Princess Principal.","Lily Hoshikawa was developed by the team at production studio MAPPA, particularly series composition writer Shigeru Murakoshi and producer Nobuhiro Takenaka.","Lily Hoshikawa was developed by the famous manga artist Rumiko Takahashi, known for creating series like Inuyasha and Ranma ½.","Lily Hoshikawa was developed by the director Munehisa Sakai, known for his work on the One Piece anime series.",C
5194,"What is the significant characteristic of the Katenbäke river in Lower Saxony, Germany?",The Katenbäke river is a major tributary of the Weser river.,The Katenbäke river is known for its dramatic waterfalls and rapids.,The Katenbäke river is a man-made canal that connects various cities in Germany.,The Katenbäke river forms the border between Germany and the Netherlands.,"The Katenbäke river is the longest river in Lower Saxony, Germany.",A
5195,Which district is covered by the Roan constituency in Zambia's National Assembly?,Copperbelt Province,Mapatamatu,None of the above,Roan suburb,Luanshya District,E
5196,Where is Lake Tahoma located?,"Lake Tahoma is a public lake in the mountains of Western North Carolina, United States, in McDowell County. It is fed by the waters of Buck Creek, a tributary of the Catawba River. The lake is about 5 miles northeast of Marion.","Lake Tahoma is a private lake in the mountains of Western North Carolina, United States, in McDowell County. It is fed by the waters of Broad Creek, a tributary of the Catawba River. The lake is about 5 miles northwest of Marion.","Lake Tahoma is a private lake in the mountains of Western North Carolina, United States, in McDowell County. It is fed by the waters of Buck Creek, a tributary of the Catawba River. The lake is about 5 miles northwest of Marion.","Lake Tahoma is a private lake in the mountains of Eastern North Carolina, United States, in McDowell County. It is fed by the waters of Buck Creek, a tributary of the Catawba River. The lake is about 5 miles northwest of Marion.","Lake Tahoma is a private lake in the mountains of Western North Carolina, United States, in Rutherford County. It is fed by the waters of Buck Creek, a tributary of the Catawba River. The lake is about 5 miles northwest of Marion.",C
5197,"What is the dominant religion practiced in Pobožje, a village in the municipality of Čučer-Sandevo, North Macedonia?",Islam,Buddhism,Christianity,Hinduism,Judaism,C
5198,Which street in Downtown Vancouver is Burrard station located on?,"Robson Street, adjacent to Melville and Dunsmuir Streets.","Burrard Street, where Melville and Dunsmuir Streets meet.","Granville Street, at the intersection of Melville and Dunsmuir Streets.","Main Street, between Melville and Dunsmuir Streets.","Hastings Street, near the intersection of Melville and Dunsmuir Streets.",B
5199,What is the significance of Paul Simon's music career?,His music spans over 50 years of musical contributions.,"His most recent album, Seven Psalms, was released on May 19, 2023.",He is best known for his collaborations with Art Garfunkel in Simon & Garfunkel.,"He has released a variety of albums, including studio, live, compilation, and singles.",He started recording music in the 1950s and continues to release new albums.,D
5200,What is the name of the company that handles the programming for WWGM radio station?,"Middleton, Tennessee",Southern Broadcasting Corporation,"Selmer, Tennessee",WWFA,WYDL,B
5201,"What is the approximate population of Trhanov, a municipality and village in the Plzeň Region of the Czech Republic, according to Wikipedia?",Trhanov has about 100 inhabitants.,Trhanov has about 1000 inhabitants.,Trhanov has about 250 inhabitants.,Trhanov has about 750 inhabitants.,Trhanov has about 500 inhabitants.,E
5202,What major difference marked development in the Lotus 22 compared to the Lotus 20?,It had a top link and the 'rubber donut' to the rear suspension,It had disc brakes all round,It had a dry sump engine,It had a canted over engine to lower the center of gravity,It had smoother bodywork covering the engine,A
5203,What are the main characteristics of Gray's stream frog?,"Gray's stream frog is a large species of frog in the family Pyxicephalidae, living mainly in water bodies such as streams and ponds, and possessing short, webbed toes.","Gray's stream frog is a medium-sized species of frog in the family Pyxicephalidae, living mainly in desert regions, typically green in color, with short, webbed toes.","Gray's stream frog is a fairly small species of frog in the family Pyxicephalidae, living mainly in vegetation such as sedges, generally brown, slenderly built and agile, with long, practically unwebbed toes.","Gray's stream frog is a large species of frog in the family Pyxicephalidae, living mainly in rainforests, typically blue in color, with short, unwebbed toes.","Gray's stream frog is a rare species of frog in the family Pyxicephalidae, living in underground burrows, typically black in color, with long, webbed toes.",C
5204,What is the primary purpose of the United States Army Reconnaissance and Surveillance Leaders Course (RSLC)?,"RSLC is a 29-day school intended to teach officers and non-commissioned officers the fundamentals of reconnaissance and surveillance operations, target acquisition, and combat assessment.","RSLC is a training program specifically designed for operators from U.S. Army Special Forces, the 75th Ranger Regiment's Regimental Reconnaissance Company, U.S. Army Civil Affairs, Navy SEALs, and Marine reconnaissance units.","RSLC is a course designed to train soldiers, marines, sailors, and airmen in a variety of military skills, including reconnaissance, target acquisition, and combat assessment operations.",RSLC is a course focused on preserving key Long Range Surveillance (LRS) skills and abilities within the conventional force after the disbandment of U.S. Army LRS companies.,"RSLC is a school that primarily trains soldiers, marines, sailors, and airmen in communications, planning, and foreign vehicle identification.",A
5205,"What is one of the notable achievements of Jessica Cox, as mentioned in the Wikipedia excerpt?",Jessica Cox has invented a revolutionary prosthetic arm that allows her to perform everyday tasks effortlessly.,"Jessica Cox has successfully completed a solo flight in a fixed-wing aircraft, despite being born without arms.",Jessica Cox is an accomplished pianist and has performed in various concerts worldwide.,"Jessica Cox has become a renowned motivational speaker, delivering inspiring talks on perseverance and overcoming obstacles.",Jessica Cox has written an autobiography detailing her journey and experiences as someone living without arms.,B
5206,"How is the book ""Atomic Frontier Days: Hanford and the American West"" described in terms of its writing style and scope?",It is an oral history collection that gives firsthand accounts of individuals who worked at Hanford during World War II.,"It provides a comprehensive view of western-regional, local, and national concerns related to the history of Hanford and the Tri-Cities region.",It primarily explores the complex motives and consequences of the Hanford Site's history during World War II and the Cold War.,"It is a locally-oriented work, focusing on the history of the Hanford Site during World War II and the Cold War.","It offers a narrow perspective on the Hanford Nuclear Site, with a particular emphasis on the Cold War legacy.",B
5207,"What is the notable feature of Darkest Hour's debut EP ""The Misanthrope""?",The Misanthrope showcases Darkest Hour's transition from melodic death metal to hardcore orientated metalcore.,"The Misanthrope features a progressive metal sound, incorporating intricate time signatures and unconventional song structures.",The Misanthrope was released in 1996 on the defunct label Death Truck Records.,"The Misanthrope gained significant commercial success, reaching the top of the Billboard charts.",The Misanthrope is known for its collaboration with renowned guest vocalists from other prominent metal bands.,A
5208,Which ethnic groups are present in the Chinese province of Sichuan?,"The Eastern Lipo, Kadu people, and A-Hmao are the ethnic groups present in the province.","The Eastern Lipo, Yao people, and A-Hmao are the ethnic groups present in the province.","The Eastern Pumi, Yao people, and A-Hmao are the ethnic groups present in the province.","The Lahu, Kadu people, and A-Hmao are the ethnic groups present in the province.","The Lahu, Yao people, and A-Hmao are the ethnic groups present in the province.",A
5209,What is The Elf on the Shelf: A Christmas Tradition?,"The Elf on the Shelf: A Christmas Tradition is a children's picture book about Christmas, written in rhyme, that explains how Santa Claus determines who is naughty and nice.","The Elf on the Shelf: A Christmas Tradition is a cookbook for holiday recipes, written by Carol Aebersold and her daughter Chanda Bell.","The Elf on the Shelf: A Christmas Tradition is a children's picture book about circus performers, written in rhyme, that describes their special talents.","The Elf on the Shelf: A Christmas Tradition is a children's picture book about gardening, written in rhyme, that explains the life cycle of plants.","The Elf on the Shelf: A Christmas Tradition is a collection of short stories for children, written by Coë Steinwart.",A
5210,What was the main purpose of the 442nd Infantry Regiment during World War II?,The 442nd Infantry Regiment was primarily involved in intelligence gathering and reconnaissance missions during World War II.,The 442nd Infantry Regiment was primarily tasked with maintaining law and order within internment camps during World War II.,The 442nd Infantry Regiment was primarily responsible for escorting high-ranking military officials during World War II.,The 442nd Infantry Regiment was primarily tasked with defending the United States against potential invaders.,The 442nd Infantry Regiment was primarily composed of second-generation American soldiers of Japanese ancestry (Nisei) who fought in World War II.,E
5211,What is the main industry in the commune of Migné in central France?,"The main industry in Migné is education, with several prestigious schools and universities located in the area.","The main industry in Migné is manufacturing, with multiple factories producing various consumer goods.","The main industry in Migné is mining, with numerous active mines extracting valuable mineral resources.","The main industry in Migné is tourism, with a thriving hospitality sector catering to visitors.","The main industry in Migné is agriculture, with a focus on crop cultivation and livestock farming.",E
5212,What is the significance of Arno Bieberstein in the history of swimming?,Arno Bieberstein was a coach who trained numerous Olympic swimmers.,Arno Bieberstein was the first swimmer to break the world record in the 100m backstroke.,Arno Bieberstein was the inventor of a revolutionary swimming technique.,Arno Bieberstein was a German backstroke swimmer who competed in the 1908 Summer Olympics.,Arno Bieberstein was responsible for introducing the butterfly stroke in competitive swimming.,D
5213,What is the location of Henryków village in Poland?,"Henryków village is located in the administrative district of Gmina Szprotawa, within Żagań County, in eastern Poland.","Henryków village is located approximately 6 kilometers east of Zielona Góra, in the administrative district of Gmina Szprotawa, within Żagań County.","Henryków village is located in the administrative district of Gmina Szprotawa, within Żagań County, Lubusz Voivodeship, in eastern Poland.","Henryków village is located in the administrative district of Gmina Szprotawa, within Żagań County, Lubusz Voivodeship, in western Poland.","Henryków village is located approximately 4 miles east of Szprotawa, 12 miles east of Żagań, and 26 miles south of Zielona Góra.",D
5214,What is Nathalie Sophia Nielsine Caroline Rink credited as?,Nathalie Sophia Nielsine Caroline Rink is credited as being the first woman to establish a trade route between Greenland and Europe.,Nathalie Sophia Nielsine Caroline Rink is credited as being the first woman to document the Inuit languages and dialects in Greenland.,Nathalie Sophia Nielsine Caroline Rink is credited as being the first woman to publish works on Greenland and its culture.,Nathalie Sophia Nielsine Caroline Rink is credited as being the first woman to discover the lost civilization of Atlantis.,Nathalie Sophia Nielsine Caroline Rink is credited as being the first woman to explore the high Arctic and reach the North Pole.,C
5215,"Who created the oil-on-canvas painting ""Bazille's Studio""?",Édouard Manet and Pierre-Auguste Renoir in collaboration,Frédéric Bazille,Édouard Manet,Frédéric Bazille and Édouard Manet in collaboration,Pierre-Auguste Renoir,B
5216,"Who was the founder of St Austell Brewery in Cornwall, England?",Emily Smith,Alexander Brown,Sarah Wilson,John Thompson,Walter Hicks,E
5217,What is the main mode of transportation available at Keisei Shisui Station?,Keisei Shisui Station offers helicopter services for aerial transportation.,Keisei Shisui Station offers rail services on the Keisei Main Line.,Keisei Shisui Station offers bus services to various destinations within Chiba.,Keisei Shisui Station offers ferry services to neighboring islands.,Keisei Shisui Station offers bicycle rentals for travelers.,B
5218,"What was the significance of the UFC Fight Night: Shogun vs. Sonnen event that took place on August 17, 2013?",UFC Fight Night: Shogun vs. Sonnen was the first event to be exclusively broadcasted on a streaming platform.,UFC Fight Night: Shogun vs. Sonnen was the first event to be held at the TD Garden in Boston.,UFC Fight Night: Shogun vs. Sonnen was the first event in UFC history to have two main events.,UFC Fight Night: Shogun vs. Sonnen featured a record-breaking number of submissions.,UFC Fight Night: Shogun vs. Sonnen marked the debut of a new weight class in the UFC.,B
5219,"How was Tales from the Grave in Space, the third studio album by Gama Bomb, released?","The album was released exclusively through online streaming platforms, such as Spotify and Apple Music.","The album was released as a limited edition box set, featuring bonus tracks and exclusive merchandise.","The album was released on vinyl and cassette tape, exclusively through independent record stores.","The album was released digitally through a partnership between the band and record label Earache Records, and was made available for free download.","The album was released on CD and DVD, with a live concert recording included as a bonus feature.",D
5220,What major landmark does the A105 road in London primarily serve as the primary access route to?,Buckingham Palace,The British Museum,The Shopping City shopping centre in Wood Green,The Tower of London,The London Eye,C
